Comments,OK to get fecal sample?,Date of fecal sample,Comments/info from fecal sample visit,Site,Nestbox,Attempt No.,Species,Male ID,Female ID,First Egg Date,First Egg Date Certainty,Clutch Size,Incubation Begins Date,Eggs Hatched,Eggs Failed-to-Hatch,Eggs Abandoned,Eggs Depredated,Eggs Destroyed,Egg Unknown Fate,Brood Size,Hatch Date,HD Observed or Estimated?,Earliest Target Banding Date,Latest Target Banding Date,Date Banded,Nestlings Fledging,Nestlings Perishing,Nestlings Abandoned,Nestlings Depredated,Nestlings Destroyed,BAND numbers of Nestlings,Notes
NA,NA,NA,NA,Mace Blvd,MBNR3,1,WEBL,NA,NA,2021-04-26,Estimated,4,2021-04-30,0,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNR3,2,TRES,NA,NA,2021-05-12,Confirmed,4,2021-05-16,4,0,0,0,0,0,4,2021-05-29,Estimated,2021-06-09,2021-06-11,NA,4,0,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNR4,1,WEBL,NA,NA,2021-05-05,Estimated,4,2021-05-09,4,0,0,0,0,0,4,2021-05-22,Estimated,2021-06-04,2021-06-06,NA,4,0,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNR4,2,WEBL,NA,NA,2021-06-26,Estimated,4,2021-06-30,0,0,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNR5,1,TRES,NA,NA,2021-04-30,Confirmed,5,2021-05-05,5,0,0,0,0,0,5,2021-05-17,Estimated,2021-05-28,2021-05-30,NA,5,0,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNR6,1,WEBL,NA,NA,2021-05-05,Estimated,5,2021-05-10,5,0,0,0,0,0,5,2021-05-22,Estimated,2021-06-04,2021-06-06,NA,5,0,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNR7,1,TRES,NA,NA,2021-05-19,Confirmed,5,2021-05-24,4,0,0,0,0,1,4,2021-06-06,Estimated,2021-06-17,2021-06-19,NA,4,0,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNR8,1,TRES,NA,NA,2021-05-19,Confirmed,4,2021-05-23,2,2,0,0,0,0,2,2021-06-05,Estimated,2021-06-16,2021-06-18,NA,2,0,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNR9,1,TRES,NA,NA,2021-05-02,Estimated,5,2021-05-07,0,0,0,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNR9,2,TRES,NA,NA,2021-05-14,Estimated,5,2021-05-19,5,0,0,0,0,0,5,2021-05-19,Estimated,2021-05-30,2021-06-01,NA,5,0,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNR9,3,WEBL,NA,NA,2021-06-19,Estimated,4,2021-06-23,3,1,0,0,0,0,3,2021-07-03,Estimated,2021-07-16,2021-07-18,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Picnic Grounds,PICG1,1,WEBL,NA,NA,2021-05-07,Confirmed,4,2021-05-11,3,0,0,0,0,1,3,2021-05-22,Estimated,2021-06-04,2021-06-06,NA,3,0,0,0,0,NA,NA
NA,NA,NA,NA,Picnic Grounds,PICG10,1,TRES,NA,NA,2021-04-25,Estimated,6,2021-05-01,5,0,0,0,0,1,5,2021-05-17,Estimated,2021-05-28,2021-05-30,NA,3,2,0,0,0,NA,NA
HOBO loggers,NA,NA,NA,Picnic Grounds,PICG2,1,TRES,NA,NA,2021-04-11,Estimated,6,2021-04-17,6,0,0,0,0,0,6,2021-05-01,Estimated,2021-05-12,2021-05-14,2021-05-13,6,0,0,0,0,"2631-20617, 2631-20618, 2631-20619, 2631-20620, 2631-20621, 2631-20622",NA
HOBO loggers,NA,NA,NA,Picnic Grounds,PICG2,2,TRES,NA,NA,2021-05-31,Estimated,4,2021-06-04,4,0,0,0,0,0,4,2021-06-16,Estimated,2021-06-27,2021-06-29,2021-06-28,4,0,0,0,0,"2631-20719, 2631-20720, 2631-20721, 2631-20722",NA
HOBO loggers,NA,NA,NA,Picnic Grounds,PICG3,1,TRES,NA,NA,2021-04-17,Estimated,5,2021-04-22,5,0,0,0,0,0,5,2021-05-04,Estimated,2021-05-15,2021-05-17,2021-05-17,5,0,0,0,0,"2631-20642, 2631-20643, 2631-20644, 2631-20645, 2631-20646",NA
NA,NA,NA,NA,Picnic Grounds,PICG3,2,TRES,NA,NA,2021-06-14,Estimated,4,2021-06-18,3,0,0,0,0,1,3,2021-06-28,Estimated,2021-07-09,2021-07-11,NA,3,0,0,0,0,NA,NA
NA,NA,NA,NA,Picnic Grounds,PICG4,1,TRES,NA,NA,2021-04-20,Estimated,4,2021-04-24,0,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,Picnic Grounds,PICG4,2,TRES,NA,NA,2021-05-15,Estimated,6,2021-05-21,5,1,0,0,0,0,5,2021-06-04,Confirmed,2021-06-15,2021-06-17,NA,NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,Picnic Grounds,PICG5,1,TRES,NA,NA,2021-04-19,Estimated,6,2021-04-25,5,1,0,0,0,0,5,2021-05-08,Estimated,2021-05-19,2021-05-21,2021-05-21,3,2,0,0,0,"2631-20649, 2631-20650, 2631-20651, 2631-20652",NA
NA,NA,NA,NA,Picnic Grounds,PICG5,2,TRES,NA,NA,2021-06-25,Confirmed,1,2021-06-26,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Picnic Grounds,PICG6,1,WEBL,NA,NA,2021-04-10,Estimated,5,2021-04-15,4,0,0,0,0,1,4,2021-04-22,Estimated,2021-05-05,2021-05-07,NA,4,0,0,0,0,NA,NA
NA,NA,NA,NA,Picnic Grounds,PICG6,2,WEBL,NA,NA,2021-05-31,Estimated,5,2021-06-05,1,0,0,0,0,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Picnic Grounds,PICG7,1,TRES,NA,NA,2021-04-24,Estimated,5,2021-04-29,5,0,0,0,0,0,5,2021-05-10,Estimated,2021-05-21,2021-05-23,NA,NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,Picnic Grounds,PICG8,1,TRES,NA,NA,2021-04-18,Estimated,5,2021-04-23,5,0,0,0,0,0,5,2021-05-05,Estimated,2021-05-16,2021-05-18,NA,4,1,0,0,0,NA,NA
NA,NA,NA,NA,Picnic Grounds,PICG9,1,TRES,NA,NA,2021-04-22,Confirmed,5,2021-04-27,5,0,0,0,0,0,5,2021-05-10,Estimated,2021-05-21,2021-05-23,NA,0,0,5,0,0,NA,NA
NA,NA,NA,NA,Picnic Grounds,PICG9,2,TRES,NA,NA,2021-06-08,Estimated,3,2021-06-11,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Picnic Grounds,PICG9,3,TRES,NA,NA,2021-06-22,Estimated,3,2021-06-25,1,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Picnic Grounds,PICO1,1,TRES,NA,NA,2021-05-11,Estimated,4,2021-05-15,4,0,0,0,0,0,4,2021-05-29,Estimated,2021-06-09,2021-06-11,2021-06-11,2,2,0,0,0,"2631-20706, 2631-20707, 2631-20708",NA
HOBO loggers,NA,NA,NA,Picnic Grounds,PICO10,1,WEBL,NA,NA,2021-05-24,Estimated,5,2021-05-29,5,0,0,0,0,0,5,2021-06-08,Estimated,2021-06-21,2021-06-23,2021-06-23,5,0,0,0,0,"2941-18449, 2941-18450, 2941-18451, 2941-18452, 2941-18453",NA
NA,NA,NA,NA,Picnic Grounds,PICO2,1,WEBL,NA,NA,2021-06-08,Estimated,4,2021-06-12,0,0,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
HOBO loggers,NA,NA,NA,Picnic Grounds,PICO5,1,WEBL,NA,NA,2021-04-19,Estimated,5,2021-04-24,4,0,0,0,0,1,4,2021-05-09,Estimated,2021-05-22,2021-05-24,2021-05-21,4,0,0,0,0,"2941-18418, 2941-18419, 2941-18420, 2941-18421",NA
NA,NA,NA,NA,Picnic Grounds,PICO5,2,WEBL,NA,NA,2021-06-11,Confirmed,6,2021-06-17,5,1,0,0,0,0,5,2021-07-03,Estimated,2021-07-16,2021-07-18,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Picnic Grounds,PICO6,1,WEBL,NA,NA,2021-04-15,Confirmed,3,2021-04-18,1,2,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
HOBO loggers,NA,NA,NA,Picnic Grounds,PICR10,1,WEBL,NA,NA,2021-05-26,Estimated,4,2021-05-30,4,0,0,0,0,0,4,2021-06-12,Estimated,2021-06-25,2021-06-27,2021-06-25,4,0,0,0,0,"2941-18454, 2941-18455, 2941-18456, 2941-18457",NA
NA,NA,NA,NA,Picnic Grounds,PICR3,1,TRES,NA,NA,2021-05-24,Estimated,4,2021-05-28,3,1,0,0,0,0,3,2021-06-09,Estimated,2021-06-20,2021-06-22,NA,3,0,0,0,0,NA,NA
NA,NA,NA,NA,Picnic Grounds,PICR4,1,WEBL,NA,NA,2021-04-22,Confirmed,6,2021-04-28,6,0,0,0,0,0,6,2021-05-11,Estimated,2021-05-24,2021-05-26,NA,4,2,0,0,0,NA,NA
NA,NA,NA,NA,Picnic Grounds,PICR6,1,TRES,NA,NA,2021-05-12,Estimated,2,2021-05-14,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
HOBO loggers,NA,NA,NA,Picnic Grounds,PICR8,1,WEBL,NA,NA,2021-04-10,Estimated,5,2021-04-15,4,0,0,0,0,1,4,2021-04-27,Estimated,2021-05-10,2021-05-12,2021-05-11,4,0,0,0,0,"2941-18401, 2941-18402, 2941-18403, 2941-18404",NA
HOBO loggers,NA,NA,NA,Picnic Grounds,PICR9,1,TRES,NA,NA,2021-05-02,Estimated,5,2021-05-07,5,0,0,0,0,0,5,2021-05-18,Estimated,2021-05-29,2021-05-31,2021-05-31,3,2,0,0,0,"2631-20687, 2631-20688, 2631-20689",NA
HOBO loggers,NA,NA,NA,Russell Ranch,RRRG1,1,TRES,NA,NA,2021-04-14,Estimated,6,2021-04-20,6,0,0,0,0,0,6,2021-05-02,Estimated,2021-05-13,2021-05-15,2021-05-13,5,1,0,0,0,"2631-20623, 2631-20624, 2631-20625, 2631-20626",NA
HOBO loggers,NA,NA,NA,Russell Ranch,RRRG1,2,TRES,NA,NA,2021-05-29,Estimated,5,2021-06-03,4,1,0,0,0,0,4,2021-06-15,Estimated,2021-06-26,2021-06-28,2021-06-28,3,1,0,0,0,"2631-20713, 2631-20714, 2631-20715",NA
NA,NA,NA,NA,Russell Ranch,RRRG10,1,TRES,NA,NA,2021-04-26,Estimated,5,2021-05-01,5,0,0,0,0,0,5,2021-05-15,Estimated,2021-05-26,2021-05-28,NA,4,1,0,0,0,NA,NA
NA,NA,NA,NA,Russell Ranch,RRRG10,2,TRES,NA,NA,2021-06-20,Estimated,4,2021-06-24,0,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
HOBO loggers,NA,NA,NA,Russell Ranch,RRRG11,1,WEBL,NA,NA,2021-04-18,Estimated,5,2021-04-23,5,0,0,0,0,0,5,2021-05-02,Estimated,2021-05-15,2021-05-17,2021-05-17,5,0,0,0,0,"2941-18411, 2941-18412, 2941-18413, 2941-18414, 2941-18415",NA
NA,NA,NA,NA,Russell Ranch,RRRG11,2,TRES,NA,NA,2021-06-01,Estimated,4,2021-06-05,0,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Russell Ranch,RRRG11,3,TRES,NA,NA,2021-06-28,Estimated,3,2021-07-01,0,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Russell Ranch,RRRG12,1,TRES,NA,NA,2021-05-06,Confirmed,5,2021-05-11,5,0,0,0,0,0,5,2021-05-22,Estimated,2021-06-02,2021-06-04,NA,4,1,0,0,0,NA,NA
NA,NA,NA,NA,Russell Ranch,RRRG13,1,WEBL,NA,NA,2021-04-13,Estimated,6,2021-04-19,6,0,0,0,0,0,6,2021-05-01,Estimated,2021-05-14,2021-05-16,2021-05-15,NA,NA,NA,NA,0,"2941-18405, 2941-18406, 2941-18407, 2941-18408, 2941-18409",NA
NA,NA,NA,NA,Russell Ranch,RRRG13,2,TRES,NA,NA,2021-05-31,Estimated,4,2021-06-04,4,0,0,0,0,0,4,2021-06-14,Estimated,2021-06-25,2021-06-27,NA,NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,Russell Ranch,RRRG14,1,TRES,NA,NA,2021-05-03,Estimated,5,2021-05-08,5,0,0,0,0,0,5,2021-05-21,Estimated,2021-06-01,2021-06-03,NA,5,0,0,0,0,NA,NA
NA,NA,NA,NA,Russell Ranch,RRRG16,1,TRES,NA,NA,2021-05-03,Estimated,5,2021-05-08,5,0,0,0,0,0,5,2021-05-21,Estimated,2021-06-01,2021-06-03,NA,5,0,0,0,0,NA,NA
NA,NA,NA,NA,Russell Ranch,RRRG17,1,TRES,NA,NA,2021-04-30,Confirmed,5,2021-05-05,5,0,0,0,0,0,5,2021-05-17,Estimated,2021-05-28,2021-05-30,NA,5,0,0,0,0,NA,NA
NA,NA,NA,NA,Russell Ranch,RRRG18,1,TRES,NA,NA,2021-04-20,Estimated,5,2021-04-25,5,0,0,0,0,0,5,2021-05-10,Estimated,2021-05-21,2021-05-23,NA,5,0,0,0,0,NA,NA
NA,NA,NA,NA,Russell Ranch,RRRG18,2,TRES,NA,NA,2021-06-14,Estimated,4,2021-06-18,2,2,0,0,0,0,2,2021-07-01,Confirmed,2021-07-12,2021-07-14,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Russell Ranch,RRRG2,1,WEBL,NA,NA,2021-04-20,Estimated,5,2021-04-25,4,0,0,0,0,1,4,2021-05-10,Estimated,2021-05-23,2021-05-25,2021-05-24,4,0,0,0,0,"2941-18425, 2941-18426, 2941-18427, 2941-18428",NA
NA,NA,NA,NA,Russell Ranch,RRRG2,2,WEBL,NA,NA,2021-06-27,Estimated,4,2021-07-01,0,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Russell Ranch,RRRG24,1,TRES,NA,NA,2021-05-30,Estimated,4,2021-06-03,3,0,0,0,0,1,3,2021-06-14,Estimated,2021-06-25,2021-06-27,NA,2,1,0,0,0,NA,NA
