band_number,Disposition,Species,Nestbox,Site,Banding Date,Age,How Aged,Sex,How Sexed,Status,Right Wing Chord (mm),Weight (g),Fat Score,Tail Length (mm),Skull Length (mm),Nares-Tip (mm),Tarsus (mm),Initials,Right Leg Color,Left Leg Color,Comments,Blood number,entry_order,color,life_stage
NA,NA,TRES,PICG2,Mace Boulevard,7/4/2023,L,NN,U,NA,300,18,8.7,3,1,20.5,3,10.8,RK,-,-,Purple,,1999,Purple,nestling
NA,NA,TRES,PICG2,Mace Boulevard,7/4/2023,L,NN,U,NA,300,17,9.4,5,0,19.9,3,9.8,KL,-,-,Pink,,2000,Pink,nestling
NA,NA,TRES,PICG2,Mace Boulevard,7/4/2023,L,NN,U,NA,300,15,6.9,4,0,18.6,3.1,9,YZ,-,-,Red,,2001,Red,nestling
NA,NA,TRES,PICG2,Mace Boulevard,7/4/2023,L,NN,U,NA,300,12,5,4,0,17.9,2.3,8.9,RK,-,-,Orange,,2002,Orange,nestling
2881-65932,NA,TRES,PICG2,Picnic Grounds,7/10/2023,L,NN,U,NA,333,46,21.4,5,14,24.6,4.1,11.6,KL,-,-,Pink,B548,1941,Pink,nestling
2881-65933,NA,TRES,PICG2,Picnic Grounds,7/10/2023,L,NN,U,NA,333,36,15.2,5,16,23.4,3.6,11.4,KL,-,-,Orange,B549,1942,Orange,nestling
2881-65934,NA,TRES,PICG2,Picnic Grounds,7/10/2023,L,NN,U,NA,333,44,17.7,5,11,23.7,3.9,11.6,KL,-,-,Red,B550,1943,Red,nestling
2881-65935,NA,TRES,PICG2,Picnic Grounds,7/10/2023,L,NN,U,NA,333,48,18.3,5,13,25.5,4.5,12.1,KL,-,-,Purple,,1944,Purple,nestling
NA,NA,TRES,PICG3,Picnic Grounds,5/7/2021,L,NN,U,NA,300,8,2.8,4,0,13.6,1.8,4.7,KL,-,-,Blue,-,42,Blue,nestling
NA,NA,TRES,PICG3,Picnic Grounds,5/7/2021,L,NN,U,NA,300,10,4.5,4,0,15.1,2.2,6.9,KL,-,-,Pink,-,43,Pink,nestling
NA,NA,TRES,PICG3,Picnic Grounds,5/7/2021,L,NN,U,NA,300,8,2.7,3,0,13.8,1.7,6.1,KL,-,-,Purple,-,44,Purple,nestling
NA,NA,TRES,PICG3,Picnic Grounds,5/7/2021,L,NN,U,NA,300,9,3.8,4,0,14.5,1.7,6,KL,-,-,Green,-,45,Green,nestling
NA,NA,TRES,PICG3,Picnic Grounds,5/7/2021,L,NN,U,NA,300,9,4.1,4,0,15.2,2,6.3,KL,-,-,Yellow,-,46,Yellow,nestling
NA,NA,TRES,PICG3,Picnic Grounds,5/14/2021,L,NN,U,NA,300,40,19.7,4,9,24.6,4.4,12.7,KL,-,-,Pink,-,246,Pink,nestling
NA,NA,TRES,PICG3,Picnic Grounds,5/14/2021,L,NN,U,NA,300,31,17.5,4,5,23.3,3.5,12.3,KL,-,-,Blue,-,247,Blue,nestling
NA,NA,TRES,PICG3,Picnic Grounds,5/14/2021,L,NN,U,NA,300,36,19,3,5,23.7,4,12.3,KL,-,-,Green2,-,248,Green2,nestling
NA,NA,TRES,PICG3,Picnic Grounds,5/14/2021,L,NN,U,NA,300,39,20.2,4,6,24,4.4,12.6,KL,-,-,Purple2,-,249,Purple2,nestling
NA,NA,TRES,PICG3,Picnic Grounds,5/14/2021,L,NN,U,NA,300,32,18.1,3,4,23.4,3.9,12.2,KL,-,-,Yellow2,-,250,Yellow2,nestling
2631-20642,NA,TRES,PICG3,Picnic Grounds,5/17/2021,L,NN,U,NA,333,53,19.5,3,16,24.6,5,12.8,KL,-,-,Pink,,142,Pink,nestling
2631-20643,NA,TRES,PICG3,Picnic Grounds,5/17/2021,L,NN,U,NA,333,48,21,3,12,24.3,4.3,12.8,KL,-,-,Blue,,143,Blue,nestling
2631-20644,NA,TRES,PICG3,Picnic Grounds,5/17/2021,L,NN,U,NA,333,50,21.7,2,15,25.5,4.4,12.8,KL,-,-,Green,,144,Green2,nestling
2631-20645,NA,TRES,PICG3,Picnic Grounds,5/17/2021,L,NN,U,NA,333,52,20.7,3,16,24.9,4.6,13.1,KL,-,-,Purple,,145,Purple2,nestling
2631-20646,NA,TRES,PICG3,Picnic Grounds,5/17/2021,L,NN,U,NA,333,48,20.1,3,12,24.2,4.1,12.1,KL,-,-,Yellow,,146,Yellow2,nestling
NA,NA,TRES,PICG3,Picnic Grounds,7/2/2021,L,NN,U,NA,300,10,5.1,4,0,15.4,1.8,7.2,KG,-,-,Pink,-,481,Pink,nestling
NA,NA,TRES,PICG3,Picnic Grounds,7/2/2021,L,NN,U,NA,300,10,5,5,0,16.1,2.5,7.4,KG,-,-,Purple,-,482,Purple,nestling
NA,NA,TRES,PICG3,Picnic Grounds,7/2/2021,L,NN,U,NA,300,9,4.1,4,0,16.1,2,6.8,KG,-,-,Blue,-,483,Blue,nestling
NA,NA,TRES,PICG3,Picnic Grounds,7/9/2021,L,NN,U,NA,300,39,19.4,2,8,24.6,3.6,11.4,KG,-,-,Purple,-,501,Purple,nestling
NA,NA,TRES,PICG3,Picnic Grounds,7/9/2021,L,NN,U,NA,300,42,18.4,3,9,24.5,4,11.6,TP,-,-,Pink,-,502,Pink,nestling
NA,NA,TRES,PICG3,Picnic Grounds,7/9/2021,L,NN,U,NA,300,40,15.4,3,6,23.9,3,11.7,KG,-,-,Blue,-,503,Blue,nestling
NA,NA,WEBL,PICG3,Mace Boulevard,7/12/2021,L,NN,U,NA,300,52,17.1,2,14,25.4,3.6,12,KG,-,-,Purple,-,509,Purple,nestling
NA,NA,WEBL,PICG3,Mace Boulevard,7/12/2021,L,NN,U,NA,300,56,16.6,3,15,24.9,3.8,11.4,KG,-,-,Pink,-,510,Pink,nestling
NA,NA,WEBL,PICG3,Mace Boulevard,7/12/2021,L,NN,U,NA,300,51,13.6,3,13,23.4,3.1,11.8,KG,-,-,Blue,-,511,Blue,nestling
2881-65913,NA,TRES,PICG4,Picnic Grounds,6/24/2023,AHY,PL,F,BP,333,108,19.4,3,53,28.2,5.3,12.3,KL,-,-,,B512,1922,2881-65913,adult
NA,NA,TRES,PICG4,Picnic Grounds,6/24/2023,L,NN,U,NA,300,7,2.5,5,0,13.8,1.9,5.9,KL,-,-,Purple,,1960,Purple,nestling
NA,NA,TRES,PICG4,Picnic Grounds,6/24/2023,L,NN,U,NA,300,7,2.3,5,0,13.1,1.8,5.6,KL,-,-,Blue,,1961,Blue,nestling
NA,NA,TRES,PICG4,Picnic Grounds,6/24/2023,L,NN,U,NA,300,6,2,5,0,12.5,1.6,5,KL,-,-,Red,,1962,Red,nestling
NA,NA,TRES,PICG4,Picnic Grounds,6/24/2023,L,NN,U,NA,300,7,2.6,5,0,13.7,2,6,KL,-,-,Orange,,1963,Orange,nestling
NA,NA,TRES,PICG4,Picnic Grounds,6/24/2023,L,NN,U,NA,300,6,1.2,4,0,12,1.8,5,KL,-,-,Pink,,1964,Pink,nestling
NA,NA,TRES,PICG4,Picnic Grounds,6/29/2023,L,NN,U,NA,300,16,10.3,4,0,20.1,3.1,10.7,RK,-,-,Pink2,,1984,Pink2,nestling
NA,NA,TRES,PICG4,Picnic Grounds,6/29/2023,L,NN,U,NA,300,19,12.2,5,0,20.8,2.6,10.8,RK,-,-,Red,B529,1985,Red,nestling
NA,NA,TRES,PICG4,Picnic Grounds,6/29/2023,L,NN,U,NA,300,22,13,5,0,20.7,3.1,11.7,RK,-,-,Purple2,B530,1986,Purple2,nestling
NA,NA,TRES,PICG4,Picnic Grounds,6/29/2023,L,NN,U,NA,300,23,13.8,5,0,21.7,3.2,11,RK,-,-,Green2,B531,1987,Green2,nestling
NA,NA,TRES,PICG4,Picnic Grounds,6/29/2023,L,NN,U,NA,300,22,13.6,4,0,20.8,3.1,11.1,RK,-,-,Orange,B528,1988,Orange,nestling
2881-65922,NA,TRES,PICG4,Mace Boulevard,7/4/2023,L,NN,U,NA,333,47,17.2,3,17,24.3,4.2,13.1,RK,-,-,Purple,B536,1931,Purple,nestling
2881-65923,NA,TRES,PICG4,Mace Boulevard,7/4/2023,L,NN,U,NA,333,45,17.9,5,14,24.1,4.2,12,YZ,-,-,Green,B537,1932,Green,nestling
2881-65924,NA,TRES,PICG4,Mace Boulevard,7/4/2023,L,NN,U,NA,333,47,17,4,14,23.9,4,11.8,RK,-,-,Orange,B538,1933,Orange,nestling
2881-65925,NA,TRES,PICG4,Mace Boulevard,7/4/2023,L,NN,U,NA,333,45,18.3,4,11,24,4.5,11.8,YZ,-,-,Red,B539,1934,Red,nestling
2881-65926,NA,TRES,PICG4,Mace Boulevard,7/4/2023,L,NN,U,NA,333,41,16.6,4,9,24.6,4.5,12.6,YZ,-,-,Pink,,1935,Pink,nestling
2631-20649,NA,TRES,PICG5,Picnic Grounds,5/21/2021,L,NN,U,NA,333,51,18.6,2,9,24.6,4.2,12.3,KL,-,-,Isa,,149,2631-20649,nestling
2631-20650,NA,TRES,PICG5,Picnic Grounds,5/21/2021,L,NN,U,NA,333,45,20.8,2,8,23.8,4.1,11.9,KL,-,-,Charles,,150,2631-20650,nestling
2631-20651,NA,TRES,PICG5,Picnic Grounds,5/21/2021,L,NN,U,NA,333,36,18.6,2,5,23.3,3.9,12.2,KL,-,-,Jorge,,151,2631-20651,nestling
2631-20652,NA,TRES,PICG5,Picnic Grounds,5/21/2021,L,NN,U,NA,333,51,21.5,2,11,22.6,4,13,KL,-,-,George 2.0,,152,2631-20652,nestling
2881-65825,NA,TRES,PICG5,Picnic Grounds,5/12/2022,AHY,PL,F,BP,333,110,17.3,3,54,27.9,5.1,12.4,KL,-,-,,B203,1062,2881-65825,adult
NA,NA,TRES,PICG5,Picnic Grounds,5/21/2022,L,NN,U,NA,300,35,18.3,3,7,23.8,3.8,12,KG,-,-,Orange B230,B230,799,Orange,nestling
NA,NA,TRES,PICG5,Picnic Grounds,5/21/2022,L,NN,U,NA,300,31,15.1,4,3,22.4,3.1,11.8,KG,-,-,Green B231,B231,800,Green,nestling
NA,NA,TRES,PICG5,Picnic Grounds,5/21/2022,L,NN,U,NA,300,34,15.7,3,6,22.9,3.8,11.7,KG,-,-,Purple B232,B232,801,Purple,nestling
NA,NA,TRES,PICG5,Picnic Grounds,5/21/2022,L,NN,U,NA,300,39,17.9,4,8,23.1,3.6,11.8,KG,-,-,Pink B233,B233,802,Pink,nestling
NA,NA,TRES,PICG5,Picnic Grounds,5/21/2022,L,NN,U,NA,300,36,16,3,9,22.8,3.5,11.4,KG,-,-,Blue,-,803,Blue,nestling
NA,NA,TRES,PICG5,Picnic Grounds,5/21/2022,L,NN,U,NA,300,29,14.7,3,4,22.4,3.5,11.2,KG,-,-,Red,-,804,Red,nestling
2881-65708,NA,TRES,PICG5,Picnic Grounds,5/26/2022,L,NN,U,NA,333,61,18.2,3,21,25.4,4.4,12.4,KG,-,-,Green,B137,1270,Green,nestling
2881-65709,NA,TRES,PICG5,Picnic Grounds,5/26/2022,L,NN,U,NA,333,60,17.2,,25,25.9,4.7,13.4,PGG,-,-,Blue,B138,1271,Blue,nestling
2881-65710,NA,TRES,PICG5,Picnic Grounds,5/26/2022,L,NN,U,NA,333,66,18,4,24,24.5,4.5,13,KG,-,-,Pink,B139,1272,Pink,nestling
2881-65711,NA,TRES,PICG5,Picnic Grounds,5/26/2022,L,NN,U,NA,333,61,18.4,1,20,26.6,4.7,13.9,PGG,-,-,Orange,,1273,Orange,nestling
2881-65712,NA,TRES,PICG5,Picnic Grounds,5/26/2022,L,NN,U,NA,333,56,17,2,19,26.2,5.6,13,PGG,-,-,Red,,1274,Red,nestling
NA,NA,TRES,PICG5,Picnic Grounds,5/26/2022,L,NN,U,NA,300,66,18.6,2,23,25.7,4.8,13.1,KG,-,-,Purple,,1874,Purple,nestling
NA,NA,WEBL,PICG6,Picnic Grounds,5/7/2021,L,NN,F,PL,300,51,29.8,2,12,31.6,4.9,20.3,KL,-,-,Green,-,47,Green,nestling
NA,NA,WEBL,PICG6,Picnic Grounds,5/7/2021,L,NN,M,PL,300,56,29.8,2,16,31.3,4.9,21,KL,-,-,Drew,-,48,2,nestling
NA,NA,WEBL,PICG6,Picnic Grounds,5/7/2021,L,NN,F,PL,300,48,27.8,2,14,31.3,4.8,20.7,KL,-,-,Chanel,-,49,3,nestling
NA,NA,WEBL,PICG6,Picnic Grounds,5/7/2021,L,NN,F,PL,300,49,29.9,3,15,30.7,4.8,20.3,KL,-,-,Bruna,-,50,4,nestling
NA,NA,WEBL,PICG6,Picnic Grounds,6/25/2021,L,NN,U,NA,300,13,13.3,4,0,23.3,3.3,12.4,KL,-,-,Katie! ,-,470,Single,nestling
NA,NA,WEBL,PICG6,Picnic Grounds,7/2/2021,L,NN,U,NA,300,45,27,5,12,27.8,4.3,21.1,KG,-,-,Katie! ,-,484,Single,nestling
2941-18458,NA,WEBL,PICG6,Picnic Grounds,7/5/2021,L,NN,M,PL,333,58,29,4,18,32.2,4.4,21.5,KG,-,-,Katie! ,-,601,Single,nestling
NA,NA,TRES,PICG6,Picnic Grounds,5/19/2022,L,NN,U,NA,300,7,2.5,4,0,12.6,1.7,6.2,VW,-,-,Purple,-,792,Purple,nestling
NA,NA,TRES,PICG6,Picnic Grounds,5/19/2022,L,NN,U,NA,300,7,2.2,4,0,13.3,1.7,4.8,KL,-,-,Blue,-,793,Blue,nestling
NA,NA,TRES,PICG6,Picnic Grounds,5/19/2022,L,NN,U,NA,300,7,2.3,4,0,12.5,1.6,5,KL,-,-,Orange,-,794,Orange,nestling
NA,NA,TRES,PICG6,Picnic Grounds,5/19/2022,L,NN,U,NA,300,7,1.9,3,0,12.5,1.8,4.8,VW,-,-,Pink,-,795,Pink,nestling
NA,NA,TRES,PICG6,Picnic Grounds,5/19/2022,L,NN,U,NA,300,8,2.3,3,0,13.8,2.2,6.3,VW,-,-,Green,-,796,Green,nestling
NA,NA,TRES,PICG6,Picnic Grounds,5/19/2022,L,NN,U,NA,300,7,1.4,4,0,11.8,1.5,3.8,KL,-,-,Red,-,797,Red,nestling
NA,NA,TRES,PICG6,Picnic Grounds,5/19/2022,L,NN,U,NA,300,8,2.2,3,0,12.9,2.3,5.7,VW,-,-,Yellow,-,798,Yellow,nestling
2881-65840,NA,TRES,PICG6,Picnic Grounds,5/19/2022,AHY,PL,F,BP,300,109,16.2,3,54,25.5,4.8,11.6,KL,-,-,,B229,1105,2881-65840,adult
NA,NA,TRES,PICG6,Picnic Grounds,5/26/2022,L,NN,U,NA,300,26,12,2,2,22,3.3,11.2,KG,-,-,Pink,B133,1865,Pink,nestling
NA,NA,TRES,PICG6,Picnic Grounds,5/26/2022,L,NN,U,NA,300,29,13.5,2,3,21.7,3.6,13.3,PGG,-,-,Yellow,B134,1866,Yellow,nestling
NA,NA,TRES,PICG6,Picnic Grounds,5/26/2022,L,NN,U,NA,300,27,13.4,3,1,22,3,11.6,KG,-,-,Purple,,1867,Purple,nestling
NA,NA,TRES,PICG6,Picnic Grounds,5/26/2022,L,NN,U,NA,300,24,13.7,2,1,21.5,3.7,11.3,PGG,-,-,Blue,,1868,Blue,nestling
NA,NA,TRES,PICG6,Picnic Grounds,5/26/2022,L,NN,U,NA,300,28,13.8,3,3,21.9,3.5,11.5,KG,-,-,Orange,,1869,Orange,nestling
NA,NA,TRES,PICG6,Picnic Grounds,5/26/2022,L,NN,U,NA,300,27,13,4,2,22.3,3.7,11.5,PGG,-,-,Green,,1870,Green,nestling
NA,NA,TRES,PICG6,Picnic Grounds,5/26/2022,L,NN,U,NA,300,21,10.2,3,0,20.1,3.3,10.8,PGG,-,-,Red,,1871,Red,nestling
2881-65718,NA,TRES,PICG6,Picnic Grounds,5/31/2022,L,NN,U,NA,333,49,16.5,2,14,23.3,3.9,12,VW,-,-,Green,B152,1280,Green,nestling
2881-65719,NA,TRES,PICG6,Picnic Grounds,5/31/2022,L,NN,U,NA,333,48,14.4,2,13,23.3,3.7,11.1,KG,-,-,Blue,B153,1281,Blue,nestling
2881-65720,NA,TRES,PICG6,Picnic Grounds,5/31/2022,L,NN,U,NA,333,49,14.4,2,15,23.5,3.4,11.7,PGG,-,-,Purple,B154,1282,Purple,nestling
2881-65721,NA,TRES,PICG6,Picnic Grounds,5/31/2022,L,NN,U,NA,333,50,18.1,2,16,23.2,4.3,13.1,VW,-,-,Orange,,1283,Orange,nestling
2881-65722,NA,TRES,PICG6,Picnic Grounds,5/31/2022,L,NN,U,NA,333,52,16,2,18,23.4,4,11.5,KG,-,-,Yellow,,1284,Yellow,nestling
2881-65723,NA,TRES,PICG6,Picnic Grounds,5/31/2022,L,NN,U,NA,333,48,15,2,15,23.3,4.6,11.7,PGG,-,-,Pink,,1285,Pink,nestling
2881-65724,NA,TRES,PICG6,Picnic Grounds,5/31/2022,L,NN,U,NA,333,41,13.3,1,10,22.8,3.4,10.4,KG,-,-,Red,,1286,Red,nestling
NA,NA,WEBL,PICG7,Picnic Grounds,5/19/2023,L,NN,U,NA,300,11,10.4,4,0,21.2,3.3,11.7,KL,-,-,Red,,1528,Red,nestling
NA,NA,WEBL,PICG7,Picnic Grounds,5/19/2023,L,NN,U,NA,300,12,10.6,4,0,22,3.3,11.5,KL,-,-,Purple,,1529,Purple,nestling
NA,NA,WEBL,PICG7,Picnic Grounds,5/19/2023,L,NN,U,NA,300,9,7.3,4,0,20.2,3.1,10.2,KL,-,-,Pink,,1530,Pink,nestling
NA,NA,WEBL,PICG7,Picnic Grounds,5/19/2023,L,NN,U,NA,300,10,9.3,4,0,20.8,3.3,11.1,KL,-,-,Orange,,1531,Orange,nestling
NA,NA,WEBL,PICG7,Picnic Grounds,5/19/2023,L,NN,U,NA,300,7,2.8,3,0,17.1,2.3,7.4,KL,-,-,Blue,,1532,Blue,nestling
NA,NA,WEBL,PICG7,Picnic Grounds,5/19/2023,L,NN,U,NA,300,9,7.6,4,0,19.2,2.8,9,KL,-,-,Green,,1533,Green,nestling
2941-94560,NA,WEBL,PICG7,Picnic Grounds,5/19/2023,AHY,PL,F,PL,333,97,25.7,2,55,37,8.9,21,KL,-,-,,B379,1569,2941-94560,adult
NA,NA,WEBL,PICG7,Picnic Grounds,5/25/2023,L,NN,U,NA,300,15,15.1,4,1,24.4,3.7,13.8,KL,-,-,Green,,1557,Green,nestling
NA,NA,WEBL,PICG7,Picnic Grounds,5/25/2023,L,NN,U,NA,300,21,19.7,4,1,25.8,4.4,17.1,KL,-,-,Purple,B398,1558,Purple,nestling
NA,NA,WEBL,PICG7,Picnic Grounds,5/25/2023,L,NN,U,NA,300,18,17.8,4,1,25.5,4.1,15.6,KL,-,-,Orange,,1559,Orange,nestling
NA,NA,WEBL,PICG7,Picnic Grounds,5/25/2023,L,NN,U,NA,300,20,18.7,4,1,24.7,3.8,16.1,KL,-,-,Red,B399,1560,Red,nestling
2941-94578,NA,WEBL,PICG7,Picnic Grounds,5/30/2023,L,NN,F,PL,333,48,25.1,4,16,30.1,5.5,20.6,KL,-,-,Orange,B450,1587,Orange,nestling
2941-94579,NA,WEBL,PICG7,Picnic Grounds,5/30/2023,L,NN,F,PL,333,50,24.4,4,17,30.8,5.7,20,KL,-,-,Red,B451,1588,Red,nestling
2941-94580,NA,WEBL,PICG7,Picnic Grounds,5/30/2023,L,NN,F,PL,333,52,26.9,4,19,31.4,5.7,20.5,KL,-,-,Purple,B452,1589,Purple,nestling
2941-94581,NA,WEBL,PICG7,Picnic Grounds,5/30/2023,L,NN,F,PL,333,42,25.4,4,14,29.8,5.2,19.1,KL,-,-,Green,,1590,Green,nestling
2631-20648,NA,TRES,PICG8,Picnic Grounds,5/21/2021,L,NN,U,NA,333,52,19.8,1,16,15.4,4.2,11.9,KL,-,-,SadBoi,,148,Single,nestling
2881-65876,NA,TRES,PICG8,Picnic Grounds,6/19/2022,AHY,PL,F,BP,333,108,16.4,3,53,27.8,5.1,12.2,KL,-,-,,B282,1141,2881-65876,adult
NA,NA,TRES,PICG8,Picnic Grounds,6/21/2022,L,NN,U,NA,300,25,13.7,4,2,22.4,3.2,10.5,KL,-,-,Red,,1179,Red,nestling
NA,NA,TRES,PICG8,Picnic Grounds,6/21/2022,L,NN,U,NA,300,19,11.5,4,1,21.4,2.9,10.5,KL,-,-,Yellow,,1180,Yellow,nestling
NA,NA,TRES,PICG8,Picnic Grounds,6/21/2022,L,NN,U,NA,300,22,14,3,2,21.9,3.2,10.6,KL,-,-,Blue,,1181,Blue,nestling
NA,NA,TRES,PICG8,Picnic Grounds,6/21/2022,L,NN,U,NA,300,20,12.1,4,1,20.7,2.6,10.7,YW,-,-,Purple,,1182,Purple,nestling
2881-65733,NA,TRES,PICG8,Picnic Grounds,6/28/2022,L,NN,U,NA,333,59,18.2,1,18,26.3,4.3,14.2,PGG,-,-,Blue,B177,1295,Blue,nestling
2881-65734,NA,TRES,PICG8,Picnic Grounds,6/28/2022,L,NN,U,NA,333,65,18.5,1,21,25.5,5.5,11.6,VW,-,-,Red,B178,1296,Red,nestling
2881-65735,NA,TRES,PICG8,Picnic Grounds,6/28/2022,L,NN,U,NA,333,55,17.7,1,17,25,4.4,13.6,KG,-,-,Purple,,1297,Purple,nestling
NA,NA,TRES,PICG9,Picnic Grounds,7/2/2021,L,NN,U,NA,300,17,10.2,5,0,19.4,2.6,11.5,KG,-,-,Katia! ,-,485,Single,nestling
2631-20726,NA,TRES,PICG9,Picnic Grounds,7/9/2021,L,NN,U,NA,333,51,17.7,3,14,24.1,4.1,12.4,KG,-,-,Katia! ,-,635,Single,nestling
2881-65826,NA,TRES,PICG9,Picnic Grounds,5/13/2022,AHY,PL,F,BP,333,113,19.5,4,59,28.4,4.8,12.7,KL,-,-,,B206,1063,2881-65826,adult
NA,NA,TRES,PICG9,Picnic Grounds,5/21/2022,L,NN,U,NA,300,26,13.8,3,2,20.6,3.4,11.8,KG,-,-,Blue B235,B235,810,Blue,nestling
NA,NA,TRES,PICG9,Picnic Grounds,5/21/2022,L,NN,U,NA,300,29,15.5,3,3,22,3.5,12,Kg,-,-,Yellow B236,B236,811,Yellow,nestling
NA,NA,TRES,PICG9,Picnic Grounds,5/21/2022,L,NN,U,NA,300,33,16.5,4,4,23.2,3.7,12.5,KG,-,-,Orange B237,B237,812,Orange,nestling
NA,NA,TRES,PICG9,Picnic Grounds,5/21/2022,L,NN,U,NA,300,31,16.2,4,3,22,3.1,11,KG,-,-,Green B238,B238,813,Green,nestling
NA,NA,TRES,PICG9,Picnic Grounds,5/21/2022,L,NN,U,NA,300,29,15.3,3,2,22.5,2.5,12,KG,-,-,Purple,-,814,Purple,nestling
NA,NA,TRES,PICG9,Picnic Grounds,5/21/2022,L,NN,U,NA,300,31,16.5,3,3,21.2,3.4,11.5,KG,-,-,Pink,-,815,Pink,nestling
2881-65702,NA,TRES,PICG9,Picnic Grounds,5/26/2022,L,NN,U,NA,333,57,22.2,3,20,26.4,4.9,13.5,PGG,-,-,Orange,B136,1265,Orange,nestling
2881-65703,NA,TRES,PICG9,Picnic Grounds,5/26/2022,L,NN,U,NA,333,59,19.8,3,18,24.7,4.6,12.1,KG,-,-,Purple,B155,1266,Purple,nestling
2881-65705,NA,TRES,PICG9,Picnic Grounds,5/26/2022,L,NN,U,NA,333,54,22.7,2,17,24.5,3.8,13.3,PGG,-,-,Yellow,,1267,Yellow,nestling
2881-65706,NA,TRES,PICG9,Picnic Grounds,5/26/2022,L,NN,U,NA,333,58,19.7,4,16,24.4,4.4,12.2,KG,-,-,Blue,,1268,Blue,nestling
2881-65707,NA,TRES,PICG9,Picnic Grounds,5/26/2022,L,NN,U,NA,333,58,20.5,2,21,25,4.7,13.5,PGG,-,-,Pink,,1269,Pink,nestling
NA,NA,TRES,PICO1,Picnic Grounds,6/4/2021,L,NN,U,NA,300,14,8.5,3,0,19.1,3.4,8.8,KL,-,-,Purple,-,369,Purple,nestling
NA,NA,TRES,PICO1,Picnic Grounds,6/4/2021,L,NN,U,NA,300,11,5.7,3,0,17,3,7.8,KL,-,-,Yellow,-,370,Yellow,nestling
NA,NA,TRES,PICO1,Picnic Grounds,6/4/2021,L,NN,U,NA,300,21,13,3,1,21.7,3.9,11.4,KL,-,-,Pink,-,371,Pink,nestling
NA,NA,TRES,PICO1,Picnic Grounds,6/4/2021,L,NN,U,NA,300,18,10.6,3,1,20.3,3.6,10,KL,-,-,Blue,-,372,Blue,nestling
2631-20706,NA,TRES,PICO1,Picnic Grounds,6/11/2021,L,NN,U,NA,333,46,15.5,0,11,23.7,4.5,11.2,KL,-,-,Blue,-,615,Blue,nestling
2631-20707,NA,TRES,PICO1,Picnic Grounds,6/11/2021,L,NN,U,NA,333,40,15.1,0,8,23.9,4.3,11.3,KG,-,-,Purple,-,616,Purple,nestling
2631-20708,NA,TRES,PICO1,Picnic Grounds,6/11/2021,L,NN,U,NA,333,50,16.8,0,17,23.9,4.3,12.7,KL,-,-,Pink,-,617,Pink,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,4/12/2022,L,NN,U,NA,300,11,8.3,3,0,21.2,3.2,11.7,KL,-,-,Yellow,-,960,Yellow,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,4/12/2022,L,NN,U,NA,300,12,9.8,3,0,21.2,3.1,11.6,KL,-,-,Purple,-,961,Purple,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,4/12/2022,L,NN,U,NA,300,12,8.3,3,0,21.7,3.1,11.1,KL,-,-,Green,-,962,Green,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,4/12/2022,L,NN,U,NA,300,11,9.1,3,0,21.9,3.1,11.4,KL,-,-,Pink,-,963,Pink,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,4/12/2022,L,NN,U,NA,300,11,7.6,3,0,20.5,2.7,10.1,KL,-,-,Blue,-,964,Blue,nestling
2941-94402,NA,WEBL,PICO1,Picnic Grounds,4/12/2022,AHY,PL,F,PL,333,95,22.9,2,55,35.8,8.4,19.7,KL,-,-,B002,B002,1321,2941-94402,adult
NA,NA,WEBL,PICO1,Picnic Grounds,4/22/2022,L,NN,U,NA,300,51,25.5,3,18,31.1,5.3,20.1,KL,-,-,Yellow,-,989,Yellow,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,4/22/2022,L,NN,U,NA,300,52,27,4,19,28.9,4.7,19.1,KL,-,-,Purple,-,990,Purple,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,4/22/2022,L,NN,U,NA,300,50,27.1,3,16,30.4,5.2,19.5,KL,-,-,Red,B009,991,Red,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,4/22/2022,L,NN,U,NA,300,49,24.8,3,16,30.7,5.1,19.4,KL,-,-,Pink ,B007,992,Pink ,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,4/22/2022,L,NN,U,NA,300,53,25.1,3,18,29.6,4.4,18.9,KL,-,-,Orange ,B008,993,Orange ,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,4/25/2023,L,NN,U,NA,300,9,5.6,4,0,18.5,2.5,9.1,KL,-,-,Red,,1463,Red,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,4/25/2023,L,NN,U,NA,300,9,5.6,4,0,17.9,2.4,8.1,KL,-,-,Purple,,1464,Purple,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,4/25/2023,L,NN,U,NA,300,8,4.7,4,0,17.3,2.3,7.3,KL,-,-,Blue,,1465,Blue,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,5/2/2023,L,NN,U,NA,300,26,17.1,2,1,27.5,4.3,16.8,KL,-,-,Blue,B357,1466,Blue,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,5/2/2023,L,NN,U,NA,300,31,18.2,2,2,28.3,3.8,19.4,KL,-,-,Purple,B358,1467,Purple,nestling
