Timestamp,date,observer,site,box,action,equipment_name,hobo_position,readout,battery_status,memory_status,equipment_type,card_deployed,card_collected,battery_status,memory_status,
5/13/2021 16:35,5/13/0021,KL KG,BRO,BRO3,deploy,BRO3-O,outside,NA,100,0,hobo,,,,,
5/13/2021 16:36,5/13/0021,KL KG,BRO,BRO3,deploy,BRO3-I,inside,NA,100,0,hobo,,,,,
5/13/2021 17:48,5/13/0021,KL KG,BRO,BRO3,deploy,BRO3-I,inside,NA,100,0,hobo,,,,,
5/14/2021 9:18,5/14/2021,KL KG,PIC,PICR9,deploy,PICR9-O,outside,NA,100,0,hobo,,,,,
5/14/2021 9:20,5/14/2021,KL KG,PIC,PICR9,deploy,PICR9-I,inside,NA,100,0,hobo,,,,,
5/21/2021 10:21,5/21/2021,KL KG,PIC,PICR9,deploy,cam2,,,,,camera,-,-,full,empty,
5/21/2021 10:40,5/21/2021,"KL,KG",PIC,PICG6,collect,PICG6-I,inside,completed,100,7,hobo,,,,,
5/21/2021 10:40,5/21/2021,KL KG,PIC,PICG6,collect,PICG6-O,outside,completed,100,7,hobo,,,,,
5/21/2021 11:23,5/21/2021,KL KG,PIC,PICG1,deploy,PICG1-I,inside,NA,100,0,hobo,,,,,
5/21/2021 11:24,5/21/2021,KL KG,PIC,PICG1,deploy,PICG1-O,outside,NA,100,0,hobo,,,,,
5/26/2021 8:07,5/26/2021,"KL, KG",MBN,MBNG4,collect,MBNG4-O,outside,completed,100,7,hobo,,,,,
5/26/2021 8:07,5/26/2021,"KL, KG",MBN,MBNG4,collect,MBNG4-I,inside,completed,100,7,hobo,,,,,
5/26/2021 8:24,5/26/2021,KL KG,MBN,MBNG17,deploy,MBNG17-I,inside,NA,100,0,hobo,,,,,
5/26/2021 8:25,5/26/2021,KL KG,MBN,MBNG17,deploy,MBNG17-O,outside,NA,100,0,hobo,,,,,
5/26/2021 9:05,5/26/2021,KL KG,MBN,MBNC3,collect,MBNC3-I,inside,completed,100,7,hobo,,,,,
5/26/2021 9:06,5/26/2021,KL KG,MBN,MBNC3,collect,MBNC3-O,outside,completed,100,7,hobo,,,,,
5/26/2021 9:22,5/26/2021,KL KG,MBN,MBNC16,deploy,MBNC16-I,inside,NA,100,0,hobo,,,,,
5/26/2021 9:22,5/26/2021,"KL, KG",MBN,MBNC16,deploy,MBNC16-O,outside,NA,100,0,hobo,,,,,
5/26/2021 11:02,5/26/2021,"KL, KG",MBN,MBNR9,deploy,cam5,,,,,camera,Card10,,full,empty,
5/27/2021 7:53,5/27/2021,KL KG,RRR,RRRG1,collect,RRRG1-I,inside,completed,100,7,hobo,,,,,
5/27/2021 7:53,5/27/2021,KL KG,RRR,RRRG1,collect,RRRG1-O,outside,completed,100,7,hobo,,,,,
5/27/2021 7:54,5/27/2021,KL KG,RRR,RRRG1,collect,cam1,,,,,camera,NA,card9,low,full,
5/27/2021 8:34,5/27/2021,KL KG,RRR,RRRG8,deploy,RRRG8-I,inside,NA,100,0,hobo,,,,,
5/27/2021 8:35,5/27/2021,"KL, KG, IS",RRR,RRRG8,deploy,RRRG8-O,outside,NA,100,0,hobo,,,,,
5/27/2021 9:55,5/27/2021,KL KG,RRR,RRE15,collect,RRE15-I,inside,completed,100,7,hobo,,,,,
5/27/2021 9:57,5/27/2021,KL KG,RRR,RRRE15,collect,RRE15-O,outside,completed,100,7,hobo,,,,,
5/27/2021 10:06,5/27/2021,KL KG,RRR,RRC12,deploy,RRC12-I,inside,NA,100,0,hobo,,,,,
5/27/2021 10:06,5/27/2021,KL KG,RRR,RRC12,deploy,RRC12-O,outside,NA,100,0,hobo,,,,,
5/27/2021 10:53,5/27/2021,"KL, KG, IS",RRR,RRRR2,deploy,cam7,,,,,camera,Card7,Na,full,empty,
5/27/2021 13:08,5/27/2021,"KL, KG, IS",BRO,BRO6,collect,BRO6-I,inside,completed,100,0,hobo,,,,,
5/27/2021 13:09,5/27/2021,KL KG,BRO,BRO6,collect,BRO6-O,outside,completed,100,0,hobo,,,,,
5/28/2021 8:50,5/28/2021,"KL, KG",PIC,PICR8,collect,PICR8-I,inside,completed,100,0,hobo,,,,,
5/28/2021 8:50,5/28/2021,"KL, KG",PIC,PICR8,collect,PICR8-O,outside,completed,100,0,hobo,,,,,
6/2/2021 7:43,6/2/2021,"KL, KG",MBN,MBNG10,collect,MBNG10-I,inside,completed,100,0,hobo,,,,,
6/2/2021 7:46,6/2/2021,"KL, KG",MBN,MBNG10,collect,MBNG10-O,outside,completed,100,10,hobo,,,,,
6/2/2021 7:53,6/2/2021,"KL, KG",MBN,MBNG12,collect,MBNG12-I,inside,completed,100,10,hobo,,,,,
6/2/2021 7:54,6/2/2021,"KL, KG",MBN,MBNG12,collect,MBNG12-O,outside,completed,100,10,hobo,,,,,
6/2/2021 8:05,6/2/2021,"KL, KG",MBN,MBNG27,deploy,MBNG27-I,inside,NA,100,0,hobo,,,,,
6/2/2021 8:05,6/2/2021,"KL, KG",MBN,MBNG27,deploy,MBNG27-O,outside,NA,100,0,hobo,,,,,
6/2/2021 8:21,6/2/2021,"KL, KG",MBN,MBNG20,deploy,MBNG20-I,inside,NA,100,0,hobo,,,,,
6/2/2021 8:22,6/2/2021,"KL, KG",MBN,MBNG20,deploy,MBNG20-O,outside,NA,100,0,hobo,,,,,
6/2/2021 10:00,6/2/2021,KL KG,MBN,MBNC11,collect,MBNC11-I,inside,completed,100,7,hobo,,,,,
6/2/2021 10:01,6/2/2021,KL KG,MBN,MBNC11,collect,MBNC11-O,outside,completed,100,7,hobo,,,,,
6/2/2021 10:06,6/2/2021,KL KG,MBN,MBNC10,deploy,MBNC10-I,inside,NA,100,0,hobo,,,,,
6/2/2021 10:06,6/2/2021,KL KG,MBN,MBNC10,deploy,MBNC10-O,outside,NA,100,0,hobo,,,,,
