Comments,Site,Nestbox,Attempt No. ,Species,Male ID,Female ID,First Egg Date,First Egg Date Certainty,Clutch Size,Incubation Begins Date,Eggs Hatched,Eggs Failed-to-Hatch,Eggs Abandoned,Eggs Depredated,Eggs Destroyed,Egg Unknown Fate,Brood Size,Hatch Date,HD Observed or Estimated?,Earliest Target Banding Date,Latest Target Banding Date,Date Banded,Nestlings Fledging,Nestlings Perishing,Nestlings Abandoned,Nestlings Depredated,Nestlings Destroyed,BAND numbers of Nestlings,Notes
,Picnic Grounds,PCC13,1,WEBL,SV/BE l leg,OR/BE l ,5/1/2021,Estimated,3,5/3/2021,3,0,0,0,0,0,3,,,,,,,,,,,,
,Picnic Grounds,PCC13,2,TRES,unbanded,unbanded,6/6/2021,Estimated,4,6/9/2021,4,0,0,0,0,0,4,6/20/202,Confirmed,7/2/2021,7/4/2021,,,,,,,,
,Picnic Grounds,PCC16,1,TRES,unbanded,unbanded,4/28/2021,Estimated,5,5/2/2021,5,0,0,0,0,0,5,5/5/2021,Estimated,5/19/2021,5/21/2021,5/19/2021,5,0,0,0,0,5,
,Picnic Grounds,PCC18,1,WEBL,,,5/16/2021,Estimated,2,,0,0,0,0,2,0,0,,,,,,,,,,,,
,Picnic Grounds,PCC2,1,WEBL,,unbanded,6/3/2021,Estimated,4,6/6/2021,4,0,0,0,0,0,4,6/16/2021,Estimated ,6/30/2021,6/2/2021,,,,,,,,
,Picnic Grounds,PCC3,1,WEBL,banded,unbanded,4/2/2021,Confirmed,5,4/6/2021,5,0,0,0,0,0,5,4/19/2021,Estimated,5/3/2021,5/5/2021,5/4/2021,5,0,0,0,0,,
,Picnic Grounds,PCC3,2,WEBL,,,5/28/2021,Estimated,4,5/30/2021,4,0,0,0,0,0,4,6/12/2021,Estimated,6/26/2021,6/28/2021,,,,,,,,
,Picnic Grounds,PCC4,1,WEBL,"SV/GN r, OR/BE left",unbanded,4/17/2021,Confirmed,5,4/21/2021,4,1,0,0,0,0,4,5/4/2021,Estimated,5/18/2021,5/20/2021,5/19/2021,4,0,0,0,0,,
,Picnic Grounds,PCC5,1,TRES,Unbanded M or F,,5/8/2021,Estimated,5,5/12/2021,4,1,0,0,0,0,4,5/25/2021,Estimated,6/6/2021,6/8/2021,6/7/2021,,,,,,,
,Picnic Grounds,PCC6,1,WEBL,"SV l, GR/BE r ",OR r,6/4/2021,Estimated,4,6/7/2021,4,0,0,0,0,0,4,6/20/2021,Confirmed,7/4/2021,7/6/2021,,,,,,,,
,Picnic Grounds,PCC7,1,WEBL,unbanded,unbanded,5/5/2021,Estimated,5,5/9/2021,5,0,0,0,0,0,5,5/12/2021,Estimated,5/28/2021,5/30/2021,5/29/2021,,,,,,,
,Picnic Grounds,PCC7,2,WEBL,unbanded,unbanded,6/17/2021,Estimated,4,6/20/2021,,,,,,,,,,,,,,,,,,,
,Picnic Grounds,PCC8,1,TRES,,,4/27/2021,Estimated,6,5/2/2021,6,0,0,0,0,0,6,5/14/2021,Estimated,5/27/2021,5/29/2021,5/29/2021,,,,,,,
,Picnic Grounds,PCC9,1,WEBL,,unbanded,4/17/2021,Confirmed,5,4/21/2021,5,0,0,0,0,0,5,5/6/2021,Estimated,5/20/2021,5/22/2021,5/21/2021,4,1,0,0,0,,
HOBO loggers,Picnic Grounds,PCC9,2,TRES,unbanded,,6/4/2021,Estimated,3,6/6/2021,3,0,0,0,0,0,3,6/20/2021,Estimated,7/2/2021,7/4/2021,7/4/2021,2,0,0,1,0,,One nestling went missing between 6/25 & 7/2
,Picnic Grounds,PCE10,1,WEBL,"OR/WH r, BE/SV left",SV/BE r,6/11/2021,Estimated,4,6/14/2021,3,1,0,0,0,0,3,6/15/2021,Estimated,6/29/2021,7/1/2021,6/29/2021,3,0,0,0,0,,
,Picnic Grounds,PCE3,1,WEBL,"SV r leg, OE left leg",,4/12/2021,Estimated,4,4/16/2021,4,0,0,0,0,0,4,4/29/2021,Estimated,5/14/2021,5/16/2021,5/15/2021,4,0,0,0,0,,
,Picnic Grounds,PCE3,2,WEBL,RD/SV left leg,,6/12/2021,Estimated,3,6/14/2021,3,0,0,0,0,0,3,6/27/2021,Estimated ,7/11/2021,7/13/2021,7/11/2021,,,,,,,
,Picnic Grounds,PCE5,1,TRES,,,4/24/2021,Estimated,6,4/29/2021,6,0,0,0,0,0,6,5/13/2021,Estimated,5/27/2021,5/29/2021,5/28/2021,5,1,0,0,0,,
,Picnic Grounds,PCE6,1,TRES,unbanded M or F,,4/26/2021,Estimated,3,4/28/2021,3,0,0,0,0,0,3,5/12/2021,Estimated,5/24/2021,5/26/2021,5/25/2021,3,0,0,0,0,,
,Picnic Grounds,PCE6,2,TRES,banded,banded,6/17/2021,Estimated,4,6/20/2021,3,1,-,-,-,-,3,7/2/2021,Estimated ,7/14/2021,7/16/2021,7/14/2021,3,0,0,0,0,,
,Picnic Grounds,PCE7,1,WEBL,unbanded,unbanded,4/15/2021,Estimated,4,4/18/2021,4,0,0,0,0,0,4,4/29/2021,Estimated,5/13/2021,5/15/2021,5/13/2021,3,1,0,0,0,,"1 chick missing on banding day, others looked fine"
,Picnic Grounds,PCE7,2,WEBL,unbanded,unbanded,6/9/2021,Confirmed,4,6/12/2021,0,4,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,,
,Picnic Grounds,PCE8,1,TRES,,,4/24/2021,Confirmed,4,4/27/2021,0,2,0,0,1,1,0,-,-,-,-,-,-,-,-,-,-,,
